Region,Clients seen by DHB service,Provisional suicide deaths by DHB,Year,Total Population,% of population seen by DHB,% of population death by suicide
Northland,6510,21,2016,171400,3.798,0.012
Auckland,55448,147,2016,1614300,3.435,0.009
Central North,23422,111,2016,742700,3.154,0.015
Gisborne,1990,8,2016,47900,4.154,0.017
Hawkes Bay,5362,26,2016,161500,3.320,0.016
Taranaki,4282,11,2016,116600,3.672,0.009
Manawatu-Whanganui,7956,35,2016,236900,3.358,0.015
Wellington,17527,59,2016,504900,3.471,0.012
Upper South,5429,24,2016,146400,3.708,0.016
West Coast,1539,10,2016,32600,4.721,0.031
Canterbury,16319,83,2016,600100,2.719,0.014
Southern ,9620,43,2016,317200,3.033,0.014
Total,155404,578,2016,4693000,3.311,0.012
Northland,6480,36,2017,181200,3.576,0.020
Auckland,56807,139,2017,1625100,3.496,0.009
Central North,24272,108,2017,776500,3.126,0.014
Gisborne,2137,6,2017,49200,4.343,0.012
Hawkes Bay,4564,27,2017,169700,2.689,0.016
Taranaki,5507,16,2017,120000,4.589,0.013
Manawatu-Whanganui,9018,47,2017,244300,3.691,0.019
Wellington,17912,61,2017,518300,3.456,0.012
Upper South,5669,17,2017,152900,3.708,0.011
West Coast,1585,10,2017,32700,4.847,0.031
Canterbury,14911,86,2017,614300,2.427,0.014
Southern ,10206,52,2017,328700,3.105,0.016
Total,159068,605,2017,4813600,3.305,0.013
Northland,6847,41,2018,185800,3.685,0.022
Auckland,57498,193,2018,1654800,3.475,0.012
Central North,25994,98,2018,796400,3.264,0.012
Gisborne,1929,14,2018,49500,3.897,0.028
Hawkes Bay,4692,29,2018,172400,2.722,0.017
Taranaki,5765,11,2018,121200,4.757,0.009
Manawatu-Whanganui,8815,44,2018,247500,3.562,0.018
Wellington,18323,61,2018,525900,3.484,0.012
Upper South,5629,12,2018,155400,3.622,0.008
West Coast,1492,8,2018,32400,4.605,0.025
Canterbury,14764,92,2018,622800,2.371,0.015
Southern ,10330,65,2018,335500,3.079,0.019
Total,162078,668,2018,4899600,3.308,0.014
Northland,7019,33,2019,189600,3.702,0.017
Auckland,58794,190,2019,1680500,3.499,0.011
Central North,27953,122,2019,813500,3.436,0.015
Gisborne,1643,10,2019,50100,3.279,0.020
Hawkes Bay,5669,38,2019,175100,3.238,0.022
Taranaki,4691,14,2019,122800,3.820,0.011
Manawatu-Whanganui,8469,53,2019,250400,3.382,0.021
Wellington,19645,61,2019,532600,3.689,0.011
Upper South,5103,20,2019,158100,3.228,0.013
West Coast,1436,2,2019,32300,4.446,0.006
Canterbury,15481,83,2019,632300,2.448,0.013
Southern ,10081,57,2019,341200,2.955,0.017
Total,165984,683,2019,4978500,3.334,0.014
Northland,6965,39,2020,194600,3.579,0.020
Auckland,57787,166,2020,1717500,3.365,0.010
Central North,27797,114,2020,834000,3.333,0.014
Gisborne,1541,8,2020,50700,3.039,0.016
Hawkes Bay,5469,46,2020,178600,3.062,0.026
Taranaki,4530,12,2020,124600,3.636,0.010
Manawatu-Whanganui,8615,37,2020,254300,3.388,0.015
Wellington,18112,56,2020,542000,3.342,0.010
Upper South,5367,24,2020,161200,3.329,0.015
West Coast,1447,3,2020,32400,4.466,0.009
Canterbury,15296,95,2020,645900,2.368,0.015
Southern ,9820,54,2020,347900,2.823,0.016
Total,162746,654,2020,5083700,3.201,0.013